# Residuals  
# Time       	p_rgh        	Ux           	Uy           	Uz           	SF6          
26           	3.766910e-02	1.586220e-06	1.668810e-04	6.556280e-04	4.691470e-04
26.1         	3.766750e-02	1.590260e-06	1.668190e-04	6.563520e-04	4.736450e-04
26.2         	3.767220e-02	1.585900e-06	1.668880e-04	6.556860e-04	4.708210e-04
26.3         	3.766680e-02	1.589650e-06	1.668050e-04	6.562850e-04	4.733250e-04
26.4         	3.766900e-02	1.583930e-06	1.668990e-04	6.558530e-04	4.680550e-04
26.5         	3.766830e-02	1.588400e-06	1.668070e-04	6.563870e-04	4.731970e-04
26.6         	3.766950e-02	1.583250e-06	1.668930e-04	6.557250e-04	4.683690e-04
26.7         	3.766780e-02	1.587250e-06	1.668190e-04	6.562870e-04	4.743520e-04
26.8         	3.767250e-02	1.583110e-06	1.668990e-04	6.557670e-04	4.700900e-04
26.9         	3.766640e-02	1.586790e-06	1.668190e-04	6.563300e-04	4.735760e-04
27           	3.766860e-02	1.581210e-06	1.669120e-04	6.559230e-04	4.680290e-04
27.1         	3.766840e-02	1.585540e-06	1.668110e-04	6.563910e-04	4.735540e-04
27.2         	3.766980e-02	1.580440e-06	1.668920e-04	6.557620e-04	4.693750e-04
27.3         	3.766820e-02	1.584680e-06	1.668320e-04	6.564880e-04	4.738160e-04
27.4         	3.767280e-02	1.580320e-06	1.668950e-04	6.556470e-04	4.689890e-04
27.5         	3.766690e-02	1.584230e-06	1.668290e-04	6.565250e-04	4.745050e-04
27.6         	3.766890e-02	1.578630e-06	1.669250e-04	6.560350e-04	4.670010e-04
27.7         	3.766890e-02	1.583120e-06	1.668340e-04	6.565720e-04	4.738780e-04
27.8         	3.767010e-02	1.577990e-06	1.669160e-04	6.558710e-04	4.693980e-04
27.9         	3.766860e-02	1.582230e-06	1.668290e-04	6.565410e-04	4.736690e-04
28           	3.767310e-02	1.578010e-06	1.669140e-04	6.558260e-04	4.705470e-04
28.1         	3.766720e-02	1.581840e-06	1.668310e-04	6.565290e-04	4.732030e-04
28.2         	3.766920e-02	1.576260e-06	1.669350e-04	6.561230e-04	4.681670e-04
28.3         	3.766920e-02	1.580760e-06	1.668150e-04	6.565350e-04	4.731650e-04
28.4         	3.767050e-02	1.575920e-06	1.669210e-04	6.560100e-04	4.681470e-04
28.5         	3.766890e-02	1.579900e-06	1.668290e-04	6.564920e-04	4.742010e-04
28.6         	3.767350e-02	1.575860e-06	1.669200e-04	6.560170e-04	4.701910e-04
28.7         	3.766750e-02	1.579740e-06	1.668390e-04	6.566030e-04	4.735490e-04
28.8         	3.766960e-02	1.574230e-06	1.669280e-04	6.562090e-04	4.679150e-04
28.9         	3.766940e-02	1.578730e-06	1.668280e-04	6.565880e-04	4.734730e-04
29           	3.767060e-02	1.573690e-06	1.669060e-04	6.558620e-04	4.693130e-04
29.1         	3.766920e-02	1.578030e-06	1.668550e-04	6.566850e-04	4.737960e-04
29.2         	3.767370e-02	1.573740e-06	1.669080e-04	6.558760e-04	4.689670e-04
29.3         	3.766790e-02	1.577790e-06	1.668510e-04	6.567660e-04	4.746000e-04
29.4         	3.766980e-02	1.572210e-06	1.669390e-04	6.561800e-04	4.669860e-04
29.5         	3.766980e-02	1.576930e-06	1.668490e-04	6.567930e-04	4.741080e-04
29.6         	3.767090e-02	1.571660e-06	1.669170e-04	6.558580e-04	4.693770e-04
29.7         	3.766950e-02	1.576130e-06	1.668470e-04	6.567250e-04	4.738310e-04
29.8         	3.767400e-02	1.571970e-06	1.669210e-04	6.560360e-04	4.704440e-04
29.9         	3.766810e-02	1.576060e-06	1.668500e-04	6.568020e-04	4.733520e-04
30           	3.767000e-02	1.570440e-06	1.669450e-04	6.562210e-04	4.681450e-04
30.1         	3.767000e-02	1.575080e-06	1.668310e-04	6.567210e-04	4.733120e-04
30.2         	3.767120e-02	1.570120e-06	1.669180e-04	6.559610e-04	4.681370e-04
30.3         	3.766970e-02	1.574430e-06	1.668470e-04	6.567280e-04	4.743220e-04
30.4         	3.767420e-02	1.570350e-06	1.669260e-04	6.561090e-04	4.703850e-04
