# Residuals  
# Time       	p_rgh        	Ux           	Uy           	Uz           	SF6          
15.7         	4.066950e-02	1.736530e-06	1.550210e-04	5.754100e-04	2.703960e-04
15.8         	4.067030e-02	1.737490e-06	1.555100e-04	5.821770e-04	2.727320e-04
15.9         	4.066830e-02	1.729080e-06	1.550820e-04	5.755000e-04	2.697820e-04
16           	4.067860e-02	1.725550e-06	1.555080e-04	5.801540e-04	2.721810e-04
16.1         	4.066710e-02	1.729640e-06	1.553770e-04	5.798350e-04	2.710480e-04
16.2         	4.067420e-02	1.720760e-06	1.554800e-04	5.812740e-04	2.721970e-04
16.3         	4.067340e-02	1.716940e-06	1.552220e-04	5.769900e-04	2.709870e-04
16.4         	4.067530e-02	1.710700e-06	1.553950e-04	5.789780e-04	2.706880e-04
16.5         	4.066920e-02	1.709590e-06	1.550910e-04	5.731180e-04	2.708880e-04
16.6         	4.067300e-02	1.704780e-06	1.555720e-04	5.796520e-04	2.700250e-04
16.7         	4.065920e-02	1.704630e-06	1.553380e-04	5.767670e-04	2.715470e-04
16.8         	4.067070e-02	1.700120e-06	1.554730e-04	5.801320e-04	2.699230e-04
16.9         	4.066680e-02	1.700980e-06	1.552730e-04	5.775780e-04	2.699920e-04
17           	4.066390e-02	1.695030e-06	1.555340e-04	5.804380e-04	2.724040e-04
17.1         	4.066060e-02	1.692560e-06	1.551470e-04	5.754110e-04	2.697200e-04
17.2         	4.067080e-02	1.689980e-06	1.554480e-04	5.786100e-04	2.701070e-04
17.3         	4.066120e-02	1.687610e-06	1.551870e-04	5.764820e-04	2.694750e-04
17.4         	4.067370e-02	1.686440e-06	1.557270e-04	5.818950e-04	2.728330e-04
17.5         	4.066740e-02	1.690410e-06	1.553350e-04	5.800220e-04	2.731100e-04
17.6         	4.066970e-02	1.677610e-06	1.554800e-04	5.773290e-04	2.707430e-04
17.7         	4.066410e-02	1.683510e-06	1.552740e-04	5.784060e-04	2.718290e-04
17.8         	4.066870e-02	1.676400e-06	1.555840e-04	5.792250e-04	2.705860e-04
17.9         	4.066020e-02	1.678930e-06	1.552300e-04	5.782250e-04	2.713340e-04
18           	4.067710e-02	1.670850e-06	1.554650e-04	5.777830e-04	2.713420e-04
18.1         	4.066840e-02	1.673620e-06	1.553680e-04	5.770890e-04	2.727880e-04
18.2         	4.067510e-02	1.663240e-06	1.553850e-04	5.754480e-04	2.716790e-04
18.3         	4.065740e-02	1.664680e-06	1.550390e-04	5.746710e-04	2.700090e-04
18.4         	4.067590e-02	1.668050e-06	1.558090e-04	5.821450e-04	2.705050e-04
18.5         	4.065720e-02	1.667470e-06	1.552180e-04	5.775570e-04	2.711790e-04
18.6         	4.066670e-02	1.661160e-06	1.556510e-04	5.812310e-04	2.709960e-04
18.7         	4.065850e-02	1.663460e-06	1.552400e-04	5.771690e-04	2.714290e-04
18.8         	4.066480e-02	1.659250e-06	1.557260e-04	5.799310e-04	2.711690e-04
18.9         	4.066610e-02	1.658270e-06	1.554560e-04	5.767880e-04	2.695950e-04
19           	4.067430e-02	1.655820e-06	1.558440e-04	5.800220e-04	2.729860e-04
19.1         	4.066850e-02	1.660640e-06	1.556010e-04	5.778100e-04	2.710850e-04
19.2         	4.067260e-02	1.648600e-06	1.555260e-04	5.779290e-04	2.711760e-04
19.3         	4.067060e-02	1.651700e-06	1.552570e-04	5.753490e-04	2.704520e-04
19.4         	4.066760e-02	1.647000e-06	1.555990e-04	5.791930e-04	2.718280e-04
19.5         	4.066270e-02	1.645910e-06	1.551680e-04	5.749240e-04	2.700830e-04
19.6         	4.066980e-02	1.642900e-06	1.556960e-04	5.789700e-04	2.692510e-04
19.7         	4.066220e-02	1.644070e-06	1.551250e-04	5.746290e-04	2.695760e-04
19.8         	4.067330e-02	1.647050e-06	1.560580e-04	5.847270e-04	2.729610e-04
19.9         	4.067470e-02	1.638700e-06	1.549540e-04	5.716670e-04	2.691040e-04
20           	4.067080e-02	1.638990e-06	1.556150e-04	5.793370e-04	2.717640e-04
20.1         	4.065580e-02	1.639060e-06	1.552550e-04	5.774640e-04	2.704160e-04
20.2         	4.066990e-02	1.633830e-06	1.555020e-04	5.785040e-04	2.704860e-04
20.3         	4.065920e-02	1.629870e-06	1.550990e-04	5.721150e-04	2.703600e-04
20.4         	4.066720e-02	1.632330e-06	1.556730e-04	5.784860e-04	2.707050e-04
20.5         	4.066440e-02	1.631340e-06	1.551800e-04	5.752740e-04	2.701740e-04
20.6         	4.067200e-02	1.631570e-06	1.556800e-04	5.801930e-04	2.709260e-04
20.7         	4.066140e-02	1.633590e-06	1.553350e-04	5.765400e-04	2.695090e-04
20.8         	4.067430e-02	1.634980e-06	1.558300e-04	5.829140e-04	2.715200e-04
20.9         	4.061300e-02	1.443500e-06	1.584870e-04	5.726410e-04	2.692870e-04
21           	4.068860e-02	1.627240e-06	1.573830e-04	5.829590e-04	2.723110e-04
21.1         	4.066800e-02	1.625470e-06	1.550950e-04	5.748200e-04	2.699610e-04
21.2         	4.067570e-02	1.624950e-06	1.558140e-04	5.802720e-04	2.717070e-04
21.3         	4.066160e-02	1.625950e-06	1.554470e-04	5.741340e-04	2.691700e-04
21.4         	4.067120e-02	1.620300e-06	1.556660e-04	5.803170e-04	2.728700e-04
21.5         	4.065460e-02	1.627270e-06	1.553110e-04	5.810140e-04	2.730150e-04
21.6         	4.062280e-02	1.434680e-06	1.588260e-04	5.764240e-04	2.712620e-04
21.7         	4.068410e-02	1.617200e-06	1.567680e-04	5.758320e-04	2.686180e-04
21.8         	4.066660e-02	1.617060e-06	1.554920e-04	5.819770e-04	2.724660e-04
21.9         	4.066670e-02	1.613530e-06	1.551280e-04	5.744130e-04	2.697010e-04
22           	4.068480e-02	1.617620e-06	1.557340e-04	5.810300e-04	2.720560e-04
22.1         	4.060750e-02	1.428650e-06	1.584910e-04	5.737080e-04	2.681960e-04
22.2         	4.069290e-02	1.617640e-06	1.573270e-04	5.832710e-04	2.747280e-04
22.3         	4.066450e-02	1.610030e-06	1.550410e-04	5.757110e-04	2.699640e-04
22.4         	4.067260e-02	1.608710e-06	1.557950e-04	5.814140e-04	2.718140e-04
22.5         	4.061550e-02	1.423580e-06	1.586900e-04	5.746770e-04	2.695420e-04
